Name,Street1,Street2,Street3,Suburb,State,Postcode,Sales Rep,SalesRepPS,Last Order,Last Contact,Rolling 12 Months Sales,Rolling 12 Months Sales LY,Balance,Tags Included,Tags Excluded
National Recovery and Resilience Agency,Unit 13,6 Pinacle Street,,BRENDALE,QLD,4500,,Steven Morrison,18/10/22,29/10/22,"$27,099.87",$0.00,$0.00,,
Sydney Fish Markets - DO NOT USE,,,,,,,Steve Morrison,,08/12/22,06/12/22,"$25,054.37",$0.00,$0.00,,
DFAT ,,,,,,,,,17/03/23,04/04/23,"$15,714.30",$0.00,$0.00,,
NACCHO,,,,,,,,,27/02/23,01/03/23,"$15,574.69",$0.00,$0.00,,
Sydney Fish Markets (SFM),6 Hollister Way,,,Noranda,WA,6062,,,31/03/23,06/04/23,"$11,836.52",$0.00,$0.00,,
ITECA,"Level 3, 61 Dunning Avenue",,,Rosebery,NSW,2018,Steve Morrison,,10/02/23,23/03/23,"$11,761.82","$6,211.00",$0.00,,
Uniting Church Australia,Posner,,,,,,Steve Morrison,,24/03/23,30/03/23,"$11,606.69","$8,283.08",$0.00,,
Global Power Generation Australia,32 Lisgar St,,,VIRGINIA,Qld,4014,,,31/03/23,05/04/23,"$11,340.16",$288.61,$0.00,,
BBR Agency,,,,,,,,Steven Morrison,28/06/22,09/01/23,"$8,996.43",$0.00,$0.00,,
Australian Electoral Commission (10 Mort Street),17 Oasis Court,,,CLONTARF,QLD,4019,Steve Morrison,,16/03/23,23/03/23,"$7,894.90",$0.00,$0.00,,
AMA (ACT) Limited,,,,,,,,,11/01/23,07/02/23,"$7,800.98",$0.00,$0.00,,
IIT Training,179 McCredie Road,,,SMITHFIELD,NSW,2164,,Steven Morrison,21/03/23,24/03/23,"$7,576.94",$0.00,$0.00,,
McKinsey & Company,,,,,,,,,15/03/23,15/03/23,"$7,020.02",$0.00,$0.00,,
Duratech,,,,,,,,,15/03/23,22/03/23,"$6,017.96",$0.00,$0.00,,
EMA Advisory,3/42 Paisley Drive,,,LAWNTON,QLD,4503,,Steven Morrison,17/02/23,27/02/23,"$5,065.41",$0.00,$0.00,,
WorkSafe ACT,"Level 6, Bayview Tower",1753-1765 Botany Road,,Banksmeadow,NSW,2019,,,14/03/23,04/04/23,"$5,040.74",$841.02,$0.00,,
Nouse Group,Units 3/4,38 Kenworth Place,,BRENDALE,QLD,4500,,Steven Morrison,05/04/23,05/04/23,"$4,617.03",$0.00,$0.00,,
ACT Govt - CSD - Multicultural Festival,,,,,,,,,14/02/23,21/03/23,"$4,518.36",$0.00,$0.00,,
Watermark Search,31 Sturt Street,,,SMITHFIELD,N.S.W.,2164,,Steven Morrison,14/11/22,18/11/22,"$4,464.02",$0.00,$0.00,,
