Name,Street1,Street2,Street3,City,State,Zip,Sales Rep,SalesRepPS,Last Order,Last Contact,Rolling 12 Months Sales,Rolling 12 Months Sales LY,Balance,Tags Included,Tags Excluded
Shake Shack,225 Varick St ,Suite 301,,New  York,NY,10014,Mike Sparaco,Mike Sparaco,04/04/23,04/05/23,"$938,441.28","$623,765.81","$104,826.66",,
Upward Projects,3443 N Central Ave,,,Phoenix,Arizona ,85012,Charles Goffnett,Charles Goffnett,04/04/23,04/05/23,"$410,488.90","$244,509.72","$52,757.66",,
Grimaldi's Coal Brick Oven Pizzeria (Home Office),15005 N Northsight Blvd,,,Scottsdale,AZ,85260-2617,Charles Goffnett,Charles Goffnett,04/05/23,04/05/23,"$255,996.79","$202,169.97","$62,298.09",,
Arizona Tile - POD,8829 S. Priest,Attn: Receiving,,Tempe,AZ,85284,Michael Sinkula,Michael  Sinkula,04/05/23,04/05/23,"$250,349.68","$198,534.47","$44,739.08",,
Stryker Sustainability Solutions - POD,10232 S. 51st. St.,,,Phoenix,AZ,85044,Michael Sinkula,Michael  Sinkula,04/04/23,04/05/23,"$185,738.57","$168,544.58","$74,489.28",,
Custom Ink (Broker 46501),,,,,,,Darin Osborne,Darin Osborne,,04/05/23,"$177,766.84",$0.00,"$11,246.71",,
WebPT CC-EOM,111 W Monroe Ave,Suite 200,,Phoenix ,AZ ,85003,Phil Hinson,Phil Hinson,04/05/23,04/05/23,"$147,990.08","$83,732.15","-$2,498.25",,
Arizona Tile (T),8829 S. Priest,,,Tempe,AZ,85284,Michael Sinkula,Michael  Sinkula,04/04/23,04/05/23,"$145,812.72","$159,001.44","$5,937.22",,
Oregano's - (Home Office),10135 East Via Linda,Suite D-124,,Scottsdale,AZ,85258,Charles Goffnett,Charles Goffnett,04/04/23,04/05/23,"$97,517.40","$94,631.48","$18,101.97",,
AG 011 (Furlong - 21st St & Camelback),2120 E. Camelback Rd.,,,Phoenix,AZ,85016-4713,Kyle Hancock,Kyle Hancock,04/05/23,04/05/23,"$96,535.88","$105,961.03",$708.82,,
Central Christian Church - Master,933 N. Lindsay Road,,,Mesa,AZ,85213,Phil Hinson,Phil Hinson,03/31/23,04/05/23,"$94,714.66","$39,845.12","$13,252.57",,
T Group Interactive,8460 S. College Avenue,,,Tempe,AZ ,85284,Kyle Hancock,Kyle Hancock,03/08/23,04/03/23,"$86,107.12","$34,943.22","$1,117.19",,
Riot HG/Master,7525 E Camelback Rd,"#100,",,Scottsdale,AZ,85251,Michael Sinkula,Michael  Sinkula,04/05/23,04/04/23,"$81,788.60","$56,073.74","$16,737.13",,
New Reach Education,1050 W Washington St Suite 133,,,Tempe,AZ,85281,,Hector Salas-Selem,03/27/23,02/02/23,"$65,337.04",$0.00,$0.00,,
Core Construction - AZ/Phoenix,3036 E Greenway Rd,,,Phoenix,AZ,85032,Charles Goffnett,Charles Goffnett,04/05/23,04/05/23,"$61,964.23","$36,084.88",$736.61,,
