Name;Street1;Street2;Street3;City;Province;Zip;User;UserSS;Last Shipment;Last Contact;Rolling 12 Months Sales;Rolling 12 Months Sales LY;Sales Last Month;Sales Last Month LY;Balance
PRINCIPLE ITALY SPA;Via Trieste 2;;;Liscate;MI;20050;Fabio Gallo;Fabio Gallo;04/04/23;05/04/23;€115.034,32;€115.610,32;€17.585,29;€12.164,72;€234.161,92
COSTAK S.R.L.;VIA LAURA SOLERA MANTEGAZZA, 9;;;MILANO;MI;20121;Giordano Greco;Giordano Greco;05/04/23;03/04/23;€53.291,32;€455,00;€3.439,45;€455,00;€34.918,30
Occasionale;MOSCOVA;;;MILANO;MI;20121;;;05/04/23;02/07/21;€51.717,44;€0,00;€9.833,75;€0,00;€0,00
Neri Pozza Editore S.p.A.;Via Fatebenefratelli 4;;;Milano;MI;20121;Fabio Gallo;Fabio Gallo;05/04/23;27/03/23;€44.711,88;€37.230,24;€3.999,04;€5.529,63;€76.577,66
GS1 Italy;Via Paleocapa, 7;;;Milano;MI;20121;Fabio Gallo;Fabio Gallo;31/03/23;30/03/23;€40.201,57;€45.417,64;€6.705,00;€5.487,96;€48.806,67
PECK S.P.A.;VIA SPADARI, 9;;;MILANO;MI;20123;Fabio Gallo;Fabio Gallo;03/04/23;17/11/22;€27.095,36;€0,00;€241,36;€0,00;€470,59
Copernico Srl a Socio Unico;Piazza IV Novembre 7;;;Milano;MI;20124;Fabio Gallo;Fabio Gallo;05/04/23;05/04/23;€24.040,67;€38.059,54;€2.034,69;€2.493,27;€79.360,07
Kairos Partners Sgr S.p.a.;Via San Prospero, 2;;;Milano;MI;20121;Fabio Gallo;Fabio Gallo;05/04/23;05/04/23;€23.800,74;€26.241,81;€1.656,89;€1.906,31;€56.724,40
COIMA SGR Spa;piazza gae aulenti 12;;;MILANO;mi;20154;Fabio Gallo;Fabio Gallo;06/02/23;06/03/23;€22.294,55;€22.302,41;€0,00;€37,98;€28.593,28
VERGANI SRL;VIA PRIVATA ORISTANO 5  ;;;MILANO;MI;20128;Fabio Gallo;Fabio Gallo;05/04/23;06/03/23;€21.739,73;€28.525,81;€2.181,30;€1.195,21;€48.422,38
