Name;Street1;Street2;Street3;City;Province;Zip;User;UserSS;Last Shipment;Last Contact;Sales YTD;Sales LY YTD;Sales Last Month;Sales Last Month LY;Balance
FONDAZIONE DON GINO RIGOLDI;VIA LUIGI MENGONI, 3;;;MILANO;MI;20152;Fabio Gallo;Fabio Gallo;05/04/23;31/03/23;€3.445,00;€0,00;€715,00;€0,00;€1.165,10
ASSOCIAZIONE ENOLOGI ENOTECNICI ITALIANI;VIA PRIVATA VASTO;3;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;28/02/23;24/02/23;€858,18;€0,00;€0,00;€0,00;€1.046,98
THE INFORMATION LAB ITALIA S.R.L.;VIA DELLA MOSCOVA, 10;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;31/03/23;16/02/23;€291,27;€0,00;€5,00;€0,00;€6,10
NOLOOP SRL;VIA PALERMO 8;;;MILANO;MI;20121;;;05/04/23;23/02/23;€280,56;€0,00;€105,36;€0,00;€342,28
NUOVA ACCADEMIA SRL;VIA CARLO ROBERTO DARWIN, 20;;;MILANO;MI;20143;Fabio Gallo;Fabio Gallo;14/02/23;15/02/23;€70,00;€0,00;€0,00;€0,00;€0,00
130 FINANCE S.R.L.;VIA DANTE, 4;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;16/03/23;;€36,89;€0,00;€36,89;€0,00;€0,00
ONE WORKS S.P.A.;VIA ANTONIO AMATORE SCIESA 13;;;MILANO;MI;20135;Fabio Gallo;Fabio Gallo;31/01/23;09/02/23;€10,00;€0,00;€0,00;€0,00;€923,04
RAND ELECTRIC S.R.L.;VIA PADOVA, N. 100;;;MILANO;MI;20131;Fabio Gallo;Fabio Gallo;31/10/22;29/12/22;€0,00;€0,00;€0,00;€0,00;€0,00
SOLAR TECNOLOGY S.R.L.;VIA MONSIGNORE GIUSEPPE POLVARA, 10;;;LECCO;LC;23900;Fabio Gallo;Fabio Gallo;30/11/22;31/03/23;€0,00;€0,00;€0,00;€0,00;€0,00
JUNIPERI MILANO SRL;VIA VAL FORMAZZA, 17;;;CESANO MADERNO;MB;20811;Fabio Gallo;Fabio Gallo;20/10/22;25/11/22;€0,00;€0,00;€0,00;€0,00;€0,00
STUDIO LEGALE CISLAGHI LESSIO ASSOCIATI;CORSO DI PORTA NUOVA 20;;;MILANO;MI;20121;Fabio Gallo;;20/10/22;07/10/22;€0,00;€0,00;€0,00;€0,00;€0,00
A. E G. MARTINELLI - S.R.L.;;;;;;;Fabio Gallo;Fabio Gallo;;24/10/22;€0,00;€0,00;€0,00;€0,00;€0,00
ARUKO ;;;;;;;Fabio Gallo;Fabio Gallo;;01/03/23;€0,00;€0,00;€0,00;€0,00;€0,00
C;;;;;;;Fabio Gallo;Fabio Gallo;;;€0,00;€0,00;€0,00;€0,00;€0,00
Cabiria Branduniverse Srl;;;;;;;Fabio Gallo;Fabio Gallo;;;€0,00;€0,00;€0,00;€0,00;€0,00
